sampleid	dataset	raw	filtered	perc_filtered
ERR6232529	Lee_2022	8968098	5668622	36.7912571874215
ERR6232686	Lee_2022	14039414	9710191	30.8362086907616
ERR6232687	Lee_2022	8095343	5057749	37.522733749515
ERR6232688	Lee_2022	14771859	9613591	34.9195588720418
ERR6233692	Lee_2022	10555473	7254625	31.2714361544954
ERR6233693	Lee_2022	10775236	6232212	42.1617122817542
ERR6233694	Lee_2022	21156303	13268299	37.2844159019655
ERR6233695	Lee_2022	45917908	23510131	48.7996469699796
ERR6235716	Lee_2022	7704130	4286145	44.3656194794221
ERR6235717	Lee_2022	8836630	6016602	31.9129351347742
ERR6235718	Lee_2022	19722170	12448308	36.8816514612743
ERR6236131	Lee_2022	15257335	9949975	34.7856293382822
ERR6239138	Lee_2022	6012461	3854188	35.8966652756666
ERR6239139	Lee_2022	21745035	13790154	36.5825164227144
ERR6243877	Lee_2022	16322214	8998563	44.8692254616929
ERR6243878	Lee_2022	25922847	18929904	26.9759837721528
ERR6243879	Lee_2022	10124203	5419629	46.4685862185893
ERR6243880	Lee_2022	23110113	14882864	35.6002110418067
ERR6248618	Lee_2022	16223302	9008326	44.4729192614426
ERR6254869	Lee_2022	15240086	7208140	52.702760338754
ERR6254870	Lee_2022	20874310	14509655	30.490373094967
ERR6254871	Lee_2022	20398724	13312638	34.7378885071439
ERR6257997	Lee_2022	13649944	6759057	50.4828957540046
ERR6264280	Lee_2022	34673788	19533150	43.6659473144382
ERR6264281	Lee_2022	50133027	30270320	39.6200033961644
ERR6267711	Lee_2022	8515601	4361994	48.7764398543332
ERR6267712	Lee_2022	23868354	10524384	55.9065363283953
ERR6271719	Lee_2022	20988034	9213584	56.1007762804272
ERR6271720	Lee_2022	10325646	4614426	55.3110187972743
ERR6271721	Lee_2022	40494246	25690133	36.5585594555829
ERR6273965	Lee_2022	42200909	21836069	48.2568752251284
ERR6275652	Lee_2022	28194070	15415196	45.3246870707209
ERR6275659	Lee_2022	18426511	8075600	56.1740147117379
ERR6275661	Lee_2022	79064956	35214733	55.461009805659
ERR6275663	Lee_2022	31913974	16707105	47.6495625395947
ERR6275664	Lee_2022	14794491	7012094	52.6033440420492
ERR6275665	Lee_2022	22232979	10636254	52.160014184334
ERR6275666	Lee_2022	28900563	14913422	48.3974689351207
ERR6275667	Lee_2022	18051939	8854768	50.948382885628
ERR6275668	Lee_2022	46999020	23466731	50.0697440074282
ERR6275669	Lee_2022	20803060	9417854	54.7285159010261
ERR6275670	Lee_2022	22627757	9848705	56.4751159383584
ERR6275671	Lee_2022	16843597	8476122	49.6774827847045
ERR6275672	Lee_2022	15741745	8324616	47.1175781338092
ERR6275673	Lee_2022	31084177	16409036	47.2109684615423
ERR6275674	Lee_2022	72946561	30516142	58.1664418696859
ERR6275675	Lee_2022	27770017	15390192	44.5798250681661
ERR6275676	Lee_2022	15153108	8182369	46.0020412974025
ERR6275677	Lee_2022	33908313	15192423	55.1955799157569
ERR6275678	Lee_2022	5635630	3256200	42.221189112841
ERR6275679	Lee_2022	15350255	8410887	45.2068581271125
ERR6275680	Lee_2022	31693580	16042739	49.3817391408607
ERR6275681	Lee_2022	4379384	2456237	43.9136417359154
ERR6275682	Lee_2022	17362142	8180047	52.885726887846
ERR6275683	Lee_2022	23894049	12459716	47.8543130132528
ERR6275684	Lee_2022	6911503	3704821	46.3963048268951
ERR6279614	Lee_2022	15178767	9422730	37.9216375085012
ERR6279615	Lee_2022	5562943	3248297	41.6082997794513
ERR6279616	Lee_2022	11242045	5839507	48.0565413143249
ERR6279618	Lee_2022	50500208	23899822	52.6738147296344
ERR6279619	Lee_2022	18329468	9262503	49.4666020857779
ERR6279620	Lee_2022	10120170	6388737	36.8712482102573
ERR6279621	Lee_2022	9659469	4978312	48.4618460911257
ERR6279622	Lee_2022	32240276	20039605	37.8429483668192
ERR6279623	Lee_2022	19376081	12013961	37.9959187825443
ERR6279624	Lee_2022	40680576	23771800	41.5647408728923
ERR6279625	Lee_2022	23568765	15214861	35.4448101120275
ERR6279626	Lee_2022	27857490	17734166	36.3396845875203
ERR6279627	Lee_2022	12519541	8788585	29.8010605979884
ERR6279628	Lee_2022	31409522	20756241	33.9173611110669
ERR6279629	Lee_2022	15258729	8780366	42.4567668775034
ERR6279644	Lee_2022	22137412	13344177	39.7211516865657
ERR6279645	Lee_2022	10177573	5946484	41.5726715986218
ERR6279646	Lee_2022	6184800	3960358	35.9662721510801
ERR6279647	Lee_2022	33260694	20033093	39.7694678289034
ERR6279648	Lee_2022	18130237	11857969	34.5956205646953
ERR6279649	Lee_2022	10103525	5733972	43.2478070772329
ERR6279650	Lee_2022	10013141	5508462	44.9876717006182
ERR6279651	Lee_2022	10550536	5526693	47.6169457172602
ERR6279652	Lee_2022	7692819	4502428	41.4723263344685
ERR6279653	Lee_2022	21197222	12066412	43.0755030069506
ERR6279654	Lee_2022	31174277	18176893	41.6926557751444
ERR6279655	Lee_2022	67659047	41823441	38.1849983787091
